Id,鄉鎮市區,交易標的,路名,土地移轉總面積平方公尺,都市土地使用分區,土地數,建物數,車位數,移轉層次,移轉層次項目,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,交易年,交易日,交易月,地鐵站,超商,公園,托兒所,國小,國中,高中職,大學,金融機構,醫院,大賣場,超市,百貨公司,警察局,消防局,縱坐標,橫坐標
0,文山區,房地(土地+建物)+車位,興隆路三段,27.75,住,1.0,1.0,1,1,無,7.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,2019-10-16,133.43,3,2,2,有,有,2019,31,8,1.0,7.0,2.0,20.0,20.0,19.0,12.0,17.0,15.0,20.0,7.0,20.0,13.0,20.0,16.0,24.957268804695453,121.58802617121844
1,中正區,房地(土地+建物),金山南路一段,9.57,第三種住宅區,1.0,1.0,0.0,5,無,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1997-08-20,40.34,1,1,1,有,有,2021,8,1,1.0,12.0,8.0,20.0,20.0,20.0,13.0,20.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,24.997140604695453,121.55826227121844
2,文山區,房地(土地+建物),秀明路一段,9.51,住,1.0,1.0,0,1,無,7.0,套房(1房1廳1衛),住家用,鋼筋混凝土造,2009-05-13,70.61,1,1,1,有,有,2020,29,4,0.0,6.0,7.0,20.0,20.0,18.0,11.0,19.0,15.0,18.0,6.0,20.0,11.0,20.0,13.0,24.95390560469545,121.60105037121843
3,內湖區,房地(土地+建物)+車位,康樂街,23.67,第三種住宅區,1.0,1.0,1,10,無,15.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,2009-04-24,143.829999999999,3,2,2,有,有,2019,5,6,1.0,12.0,14.0,20.0,20.0,14.0,5.0,4.0,19.0,20.0,12.0,20.0,13.0,20.0,15.0,25.00804600469545,121.55742387121843
4,北投區,房地(土地+建物),公路,22.5,第三種住宅區,1.0,1.0,0.0,2,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1973-02-15,83.73,2,1,1,有,無,2021,8,4,2.0,4.0,13.0,20.0,20.0,15.0,5.0,15.0,19.0,20.0,10.0,20.0,16.0,18.0,13.0,24.986825104695452,121.55742387121843
5,北投區,房地(土地+建物),中央北路三段,17.18,第三種住宅區,1.0,1.0,0.0,3,無,7.0,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,2009-12-31,72.05,2,2,1,有,無,2020,18,12,1.0,5.0,5.0,14.0,20.0,11.0,3.0,10.0,13.0,20.0,5.0,18.0,5.0,12.0,13.0,25.10201120469545,121.51725317121844
6,松山區,房地(土地+建物),南京東路五段,30.57,住,1.0,1.0,0,1,平台,6.0,華廈(10層含以下有電梯),住家用,加強磚造,1976-06-09,127.5,3,2,2,有,無,2020,13,2,1.0,14.0,13.0,20.0,20.0,20.0,12.0,18.0,20.0,20.0,12.0,20.0,20.0,20.0,20.0,25.012565804695452,121.59889847121843
7,信義區,房地(土地+建物),忠孝東路五段,35.25,住,1.0,1.0,0,4,無,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1974-10-14,86.42,2,2,1,有,無,2020,25,2,1.0,17.0,13.0,20.0,20.0,20.0,11.0,16.0,20.0,20.0,14.0,20.0,20.0,20.0,20.0,25.00358640469545,121.60009967121844
8,信義區,房地(土地+建物),忠孝東路五段,7.14,第三種住宅區,3.0,1.0,0.0,13,無,13.0,住宅大樓(11層含以上有電梯),一般事務所,鋼筋混凝土造,1996-01-03,42.98,1,1,1,有,有,2021,27,3,1.0,14.0,13.0,20.0,20.0,18.0,7.0,9.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,24.986825104695452,121.55742387121843
9,文山區,房地(土地+建物),三福街,26.02,第四種住宅區,4.0,1.0,0,2,無,5.0,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,2018-07-24,119.039999999999,3,2,2,有,無,2020,25,10,1.0,9.0,14.0,20.0,20.0,20.0,16.0,16.0,15.0,20.0,12.0,20.0,19.0,20.0,18.0,24.959725504695452,121.57593127121844
10,信義區,房地(土地+建物),基隆路一段,4.02,第三之一種住宅區,9.0,1.0,0.0,6,無,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1979-06-26,160.84,0,0,0,無,有,2021,11,3,2.0,15.0,10.0,20.0,20.0,20.0,13.0,18.0,20.0,20.0,12.0,20.0,20.0,20.0,20.0,24.986825104695452,121.55742387121843
11,信義區,房地(土地+建物)+車位,信義路六段,9.04,第三種住宅區,1.0,1.0,1,16,無,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1994-09-10,71.47,4,1,2,有,有,2021,29,1,0.0,13.0,14.0,20.0,20.0,20.0,8.0,14.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,25.00804600469545,121.55742387121843
12,大安區,房地(土地+建物),和平東路一段,8.4,第三種住宅區,2.0,1.0,0.0,4,無,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1997-04-14,39.83,1,1,1,有,有,2021,31,3,0.0,13.0,15.0,20.0,20.0,20.0,14.0,20.0,20.0,20.0,14.0,20.0,20.0,20.0,20.0,24.986825104695452,121.55742387121843
13,萬華區,房地(土地+建物)+車位,西園路二段,20.85,第三種住宅區,1.0,1.0,1,3,無,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2009-07-21,137.26,3,2,2,有,有,2020,14,12,1.0,17.0,13.0,20.0,20.0,20.0,13.0,17.0,19.0,20.0,15.0,20.0,20.0,20.0,20.0,25.00804600469545,121.55742387121843
