Id,單價元平方公尺
0,161672.0
1,314824.0
2,181986.0
3,168460.0
4,134360.0
5,133935.0
6,125490.0
7,138857.0
8,305724.0
9,137433.0
10,183723.0
11,153911.0
12,313834.0
13,150495.0
14,181292.0
15,264217.0
16,249733.0
17,172387.0
18,175175.0
19,147112.0
20,151497.0
21,90514.0
22,158293.0
23,301622.0
24,144753.0
25,139557.0
26,211472.0
27,194106.0
28,145735.0
29,130003.0
30,175807.0
31,324818.0
32,182959.0
33,155237.0
34,168802.0
35,106247.0
36,240318.0
37,199990.0
38,161529.0
39,73262.0
40,173163.0
41,220920.0
42,242081.0
43,153102.0
44,199129.0
45,116543.0
46,140344.0
47,135443.0
48,170864.0
49,227637.0
50,172296.0
51,173547.0
52,154076.0
53,261951.0
54,136336.0
55,147647.0
56,132690.0
57,204724.0
58,115840.0
59,95066.0
60,201172.0
61,291183.0
62,168367.0
63,99143.0
64,219769.0
65,107696.0
66,112994.0
67,194991.0
68,59198.0
69,150769.0
70,177665.0
71,162593.0
72,197004.0
73,232179.0
74,180576.0
75,167750.0
76,169836.0
77,186676.0
78,121342.0
79,174859.0
80,230835.0
81,154057.0
82,170030.0
83,267467.0
84,85929.0
85,126391.0
86,110216.0
87,195606.0
88,101051.0
89,148075.0
90,124990.0
91,152533.0
92,207533.0
93,304366.0
94,231595.0
95,101695.0
96,252573.0
97,242424.0
98,165325.0
99,177192.0
100,212564.0
101,137329.0
102,229635.0
103,215713.0
104,126524.0
105,98741.0
106,77381.0
107,238578.0
108,167785.0
109,139121.0
110,181249.0
111,153821.0
112,158652.0
113,227819.0
114,97210.0
115,149477.0
116,147329.0
117,80314.0
118,78256.0
119,256766.0
120,190943.0
121,214222.0
122,268856.0
123,201663.0
124,83589.0
125,167628.0
126,126930.0
127,179022.0
128,132450.0
129,122904.0
130,242355.0
131,137837.0
132,246383.0
133,131755.0
134,308706.0
135,137348.0
136,159676.0
137,189050.0
138,263844.0
139,221774.0
140,122996.0
141,92523.0
142,275172.0
143,136647.0
144,211750.0
145,227589.0
146,220597.0
147,120488.0
148,120120.0
149,178571.0
150,90853.0
151,266720.0
152,200130.0
153,222102.0
154,154880.0
155,242002.0
156,146227.0
157,134891.0
158,137737.0
159,224909.0
160,223557.0
161,319627.0
162,101362.0
163,177835.0
164,124023.0
165,157878.0
166,223642.0
167,122943.0
168,166095.0
169,307380.0
170,210936.0
171,128177.0
172,212264.0
173,185991.0
174,54431.0
175,166839.0
176,134001.0
177,173041.0
178,148098.0
179,167389.0
180,285383.0
181,217299.0
182,211599.0
183,133528.0
184,139052.0
185,86580.0
186,139349.0
187,230314.0
188,221917.0
189,202937.0
190,137390.0
191,324717.0
192,120139.0
193,153807.0
194,69583.0
195,226835.0
196,151928.0
197,180798.0
198,153199.0
199,235100.0
200,207720.0
201,207667.0
202,147161.0
203,145046.0
204,219920.0
205,196465.0
206,103747.0
207,96728.0
208,242349.0
209,178123.0
210,167119.0
211,210347.0
212,258732.0
213,172769.0
214,273010.0
215,141795.0
216,189124.0
217,256222.0
218,211712.0
219,221969.0
220,148860.0
221,29821.0
222,165344.0
223,172461.0
224,125726.0
225,121767.0
226,149313.0
227,122161.0
228,133028.0
229,84329.0
230,111720.0
231,143965.0
232,132976.0
233,198852.0
234,204931.0
235,289867.0
236,89781.0
237,125389.0
238,125516.0
239,151852.0
240,157459.0
241,145884.0
242,112956.0
243,146479.0
244,185517.0
245,87547.0
246,190456.0
247,196572.0
248,309932.0
249,203938.0
250,196917.0
251,181918.0
252,239280.0
253,194290.0
254,160085.0
255,171945.0
256,90241.0
257,235438.0
258,249532.0
259,76887.0
260,244497.0
261,223130.0
262,154094.0
263,160479.0
264,268523.0
265,187550.0
266,146593.0
267,259570.0
268,121884.0
269,262526.0
270,126533.0
271,141308.0
272,232784.0
273,179119.0
274,98824.0
275,178111.0
276,172005.0
277,237954.0
278,257087.0
279,134257.0
280,225213.0
281,156262.0
282,97704.0
283,176678.0
284,167347.0
285,112887.0
286,123828.0
287,187032.0
288,161849.0
289,215356.0
290,214888.0
291,65416.0
292,151205.0
293,198560.0
294,218567.0
295,100379.0
296,124659.0
297,164040.0
298,286879.0
299,184359.0
300,132362.0
301,197044.0
302,129735.0
303,125132.0
304,215855.0
305,257787.0
306,142788.0
307,170960.0
308,111773.0
309,237901.0
310,150688.0
311,123370.0
312,266896.0
313,202321.0
314,166966.0
315,201178.0
316,292135.0
317,195032.0
318,207951.0
319,172806.0
320,195178.0
321,267965.0
322,164221.0
323,217347.0
324,141533.0
325,208466.0
326,153609.0
327,248200.0
328,131996.0
329,272200.0
330,91434.0
331,192717.0
332,83589.0
333,238738.0
334,297850.0
335,203692.0
336,162782.0
337,188182.0
338,216910.0
339,294816.0
340,210279.0
341,167811.0
342,132155.0
343,138990.0
344,245382.0
345,273930.0
346,155134.0
347,181403.0
348,151923.0
349,112975.0
350,180081.0
351,158911.0
352,225524.0
353,224647.0
354,282310.0
355,194807.0
356,127512.0
357,248163.0
358,280557.0
359,269582.0
360,340491.0
361,189245.0
362,240846.0
363,176734.0
364,292503.0
365,292744.0
366,272188.0
367,179028.0
368,253188.0
369,162602.0
370,209730.0
371,326973.0
372,312431.0
373,93137.0
374,184262.0
375,145351.0
376,143740.0
377,181357.0
378,261969.0
379,88075.0
380,208869.0
381,65589.0
382,229697.0
383,108130.0
384,217726.0
385,143967.0
386,142389.0
387,116741.0
388,163310.0
389,137560.0
390,236997.0
391,218104.0
392,239924.0
393,192177.0
394,204552.0
395,241928.0
396,270208.0
397,132485.0
398,138664.0
399,201867.0
400,172315.0
401,112973.0
402,142717.0
403,183400.0
404,146981.0
405,235510.0
406,139139.0
407,168648.0
408,114290.0
409,192098.0
410,148596.0
411,137314.0
412,183263.0
413,163155.0
414,128514.0
415,252502.0
416,141412.0
417,135975.0
418,219451.0
419,185521.0
420,127183.0
421,154041.0
422,280724.0
423,126546.0
424,143026.0
425,150782.0
426,218341.0
427,295618.0
428,185011.0
429,139795.0
430,144130.0
431,96463.0
432,127082.0
433,177210.0
434,132774.0
435,170744.0
436,116539.0
437,152672.0
438,143960.0
439,226253.0
440,182833.0
441,232909.0
442,223252.0
443,213557.0
444,242333.0
445,143260.0
446,210443.0
447,211090.0
448,301270.0
449,264890.0
450,207712.0
451,251685.0
452,119342.0
453,152295.0
454,131741.0
455,226166.0
456,136841.0
457,142586.0
458,80546.0
459,170483.0
460,186366.0
461,163166.0
462,247566.0
463,137594.0
464,195042.0
465,223156.0
466,308108.0
467,94255.0
468,140306.0
469,158911.0
470,196848.0
471,189601.0
472,144106.0
473,126445.0
474,84940.0
475,162817.0
476,141496.0
477,121342.0
478,122528.0
479,171389.0
480,302741.0
481,192357.0
482,165487.0
483,201578.0
484,137347.0
485,209902.0
486,85113.0
487,118822.0
488,78716.0
489,193512.0
490,267303.0
491,184526.0
492,259859.0
493,136612.0
494,293557.0
495,337328.0
496,267730.0
497,238487.0
498,272769.0
499,220000.0
500,234693.8775510204
501,118133.0
502,122901.0
503,170693.0
504,266525.0
505,182571.0
506,134482.0
507,186190.0
508,162985.0
509,147673.0
510,144166.0
511,249635.0
512,126059.0
513,241466.0
514,82059.0
515,163214.0
516,126638.0
517,133213.0
518,142632.0
519,244437.0
520,346896.0
521,212670.0
522,132893.0
523,153631.0
524,69558.0
525,179180.0
526,99190.0
527,132026.0
528,139276.0
529,183051.0
530,196078.0
531,129410.0
532,106845.0
533,187625.0
534,39275.0
535,140008.0
536,220655.0
537,214626.0
538,75590.0
539,331227.0
540,264301.0
541,98449.0
542,141283.0
543,68745.0
544,156621.0
545,103534.0
546,219178.0
547,82418.0
548,190469.0
549,214269.0
550,260377.0
551,331263.0
552,241061.0
553,177439.0
554,225971.0
555,333716.0
556,76923.0
557,137960.0
558,211707.0
559,315271.0
560,245399.0
561,144383.0
562,145130.0
563,166518.0
564,88509.0
565,141139.0
566,135386.0
567,181328.0
568,246024.0
569,159854.0
570,314987.0
571,192337.0
572,143718.0
573,214823.0
574,152344.0
575,117126.0
576,137183.0
577,233354.0
578,221002.0
579,254251.0
580,98878.0
581,151335.0
582,202795.0
583,138926.0
584,218080.0
585,116460.0
586,219130.0
587,125487.0
588,314639.0
589,132364.0
590,126806.0
591,181048.0
592,182021.0
593,138567.0
594,173118.0
595,180408.0
596,122674.0
597,305633.0
598,96508.0
599,213478.0
600,177477.0
601,230007.0
602,126204.0
603,277212.0
604,161290.0
605,143331.0
606,198088.0
607,256687.0
608,119033.0
609,150426.0
610,229701.0
611,224519.0
612,148069.0
613,112087.0
614,139446.0
615,199780.0
616,163729.0
617,164689.0
618,205876.0
619,238355.0
620,263254.0
621,180751.0
622,192396.0
623,210809.0
624,177208.0
625,91753.0
626,185102.0
627,316769.0
628,136122.0
629,136293.0
630,103053.0
631,177547.0
632,209011.0
633,194342.0
634,82476.0
635,259157.0
636,244553.0
637,158693.0
638,181826.0
639,188475.0
640,229218.0
641,129722.0
642,107917.0
643,224935.0
644,134710.0
645,205677.0
646,165370.0
647,142070.0
648,290166.0
649,167357.0
650,123397.0
651,113668.0
652,137648.0
653,146431.0
654,263198.0
655,71856.0
656,117333.0
657,117800.0
658,151707.0
659,142562.0
660,153914.0
661,277936.0
662,257155.0
663,158111.0
664,192483.0
665,224632.0
666,180254.0
667,158214.0
668,161891.0
669,157154.0
670,125356.0
671,52098.0
672,150736.0
673,144161.0
674,161063.0
675,160783.0
676,168671.0
677,112811.0
678,165918.0
679,247157.0
680,206078.0
681,170817.0
682,118507.0
683,138466.0
684,140603.0
685,71596.0
686,144082.0
687,175364.0
688,124349.0
689,124841.0
690,214503.0
691,116296.0
692,340491.0
693,102333.0
694,126317.0
695,138189.0
696,134446.0
697,243308.0
698,193731.0
699,134051.0
700,141667.0
701,251140.0
702,117761.0
703,244608.0
704,126968.0
705,226722.0
706,123810.0
707,200631.0
708,128016.0
709,186432.0
710,212200.0
711,165613.0
712,82003.0
713,156765.0
714,139602.0
715,227769.0
716,128123.0
717,169421.0
718,84980.0
719,134406.0
720,166713.0
721,223025.0
722,196656.0
723,198483.0
724,137079.0
725,169415.0
726,186975.0
727,181716.0
728,134702.0
729,203929.0
730,146414.0
731,117666.0
732,123457.0
733,188935.0
734,207450.0
735,160365.0
736,239989.0
737,246330.0
738,152796.0
739,142463.0
740,147355.0
741,146188.0
742,145931.0
743,228340.0
744,177788.0
745,143525.0
746,200851.0
747,308306.0
748,158792.0
749,281317.0
750,112912.0
751,114652.0
752,114876.0
753,227784.0
754,157385.0
755,290276.0
756,94551.0
757,145021.0
758,118283.0
759,170015.0
760,113325.0
761,209069.0
762,131175.0
763,154277.0
764,186275.0
765,157503.0
766,129598.0
767,173651.0
768,265982.0
769,153254.0
770,219345.0
771,129890.0
772,172970.0
773,255732.0
774,259172.0
775,207595.0
776,175752.0
777,187125.0
778,154018.0
779,267496.0
780,63952.0
781,96426.0
782,150557.0
783,152399.0
784,239295.0
785,230835.0
786,252754.0
787,159499.0
788,313389.0
789,141451.0
790,256275.0
791,143063.0
792,266458.0
793,175725.0
794,30271.0
795,244521.0
796,242727.0
797,220154.0
798,172697.0
799,146803.0
800,151261.0
801,169278.0
802,115251.0
803,190051.0
804,257004.0
805,142482.0
806,146847.0
807,79957.0
808,143895.0
809,116686.0
810,208748.0
811,204889.0
812,148658.0
813,119955.0
814,159262.0
815,199650.0
816,225126.0
817,189223.0
818,190845.0
819,131341.0
820,120561.0
821,171020.0
822,140714.0
823,196557.0
824,188209.0
825,180426.0
826,89368.0
827,187780.0
828,147409.0
829,244988.86414253895
830,166301.0
831,267670.0
832,217801.0
833,175648.0
834,316026.0
835,158148.0
836,176939.0
837,315190.0
838,122217.0
839,183563.0
840,123193.0
841,190144.0
842,42370.0
843,183821.0
844,174506.0
845,228248.0
846,234826.0
847,143689.0
848,251975.0
849,254733.0
850,191212.0
851,167831.0
852,149444.0
853,170940.0
854,226120.0
855,211696.0
856,101610.0
857,173129.0
858,255547.0
859,215686.0
860,95766.0
861,224409.0
862,135364.0
863,248872.0
864,105090.0
865,169386.0
866,222063.0
867,226220.0
868,103117.0
869,208781.0
870,148243.0
871,212766.0
872,240697.0
873,226044.0
874,184049.0
875,176465.0
876,150049.0
877,178147.0
878,220858.0
879,201462.0
880,157783.0
881,187633.0
882,212089.0
883,229871.0
884,111639.0
885,135135.0
886,194124.0
887,133333.0
888,166130.0
889,346172.0
890,219595.0
891,205013.0
892,303475.0
893,90553.0
894,243688.0
895,132929.0
896,143843.0
897,101981.0
898,131595.0
899,151513.0
900,158085.0
901,99719.0
902,153338.0
903,213950.0
904,154343.0
905,165835.0
906,255456.0
907,192179.0
908,308708.0
909,159696.0
910,267446.0
911,148201.0
912,198393.0
913,193391.0
914,285824.0
915,143597.0
916,205435.0
917,74753.0
918,201797.0
919,141502.0
920,242920.0
921,224107.0
922,151001.0
923,209356.0
924,131039.0
925,124626.0
926,68927.0
927,129969.0
928,87547.0
929,63623.0
930,128098.0
931,154141.0
932,108635.0
933,131011.0
934,140989.0
935,70755.0
936,140311.0
937,177855.0
938,320521.0
939,142934.0
940,281792.0
941,176500.0
942,170270.0
943,226777.0
944,246048.0
945,288273.0
946,157341.0
947,180457.0
948,270457.0
949,228897.0
950,157262.0
951,179856.0
952,140303.0
953,235850.0
954,222970.0
955,183840.0
956,158214.0
957,227596.0
958,143377.0
959,164427.0
960,162753.0
961,96087.0
962,219780.0
963,100270.0
964,168356.0
965,284304.0
966,243243.0
967,189306.0
968,295761.0
969,113409.0
970,166369.0
971,232636.0
972,183724.0
973,152925.0
974,178960.0
975,182635.0
976,160203.0
977,48262.0
978,189834.0
979,160536.0
980,179048.0
981,135077.0
982,100869.0
983,252276.0
984,214034.0
985,199880.0
986,137765.0
987,220226.0
988,45283.0
989,181244.0
990,226220.0
991,204700.0
992,125104.0
993,204040.0
994,145519.0
995,111755.0
996,151911.0
997,150207.0
998,181858.0
999,116894.0
1000,212091.0
1001,127436.0
1002,150802.0
1003,182553.0
1004,85664.0
1005,258514.0
1006,99668.0
1007,194049.0
1008,133508.0
1009,173786.0
1010,126154.0
1011,127058.0
1012,210552.0
1013,156583.0
1014,179302.0
1015,176396.0
1016,139975.0
1017,226643.0
1018,232346.0
1019,219383.0
1020,219893.0
1021,187535.0
1022,327633.0
1023,164238.0
1024,68135.0
1025,159494.0
1026,86477.0
1027,182244.0
1028,266994.0
1029,226477.0
1030,205213.0
1031,159761.0
1032,140569.0
1033,146028.0
1034,140380.0
1035,148440.0
1036,214482.0
1037,137683.0
1038,191367.0
1039,188341.0
1040,229594.0
1041,244512.0
1042,223204.0
1043,217645.0
1044,163920.0
1045,292951.0
1046,92223.0
1047,184329.0
1048,238139.0
1049,123408.0
1050,225989.0
1051,199069.0
1052,141081.0
1053,122857.0
1054,150347.0
1055,120108.0
1056,293160.0
1057,262172.0
1058,146976.0
1059,72748.0
1060,154541.0
1061,170570.0
1062,229174.0
1063,238935.0
1064,262881.0
1065,218601.0
1066,119991.0
1067,263084.0
1068,253750.0
1069,328158.0
1070,136441.0
1071,132081.0
1072,167303.0
1073,171867.0
1074,272018.0
1075,164643.0
1076,249256.0
1077,203209.0
1078,220923.0
1079,221125.0
1080,136928.0
1081,95238.0
1082,112134.0
1083,138138.0
1084,90778.0
1085,89038.0
1086,179522.0
1087,193248.0
1088,107636.0
1089,115067.0
1090,268225.0
1091,311651.0
1092,205954.0
1093,64527.0
1094,170891.0
1095,138700.0
1096,135975.0
1097,79547.0
1098,140633.0
1099,119691.0
1100,140193.0
1101,318935.0
1102,288832.0
1103,158832.0
1104,295119.0
1105,221901.0
1106,151664.0
1107,103483.0
1108,134856.0
1109,189632.0
1110,257859.0
1111,281517.0
1112,141355.0
1113,237613.0
1114,135840.0
1115,207266.0
1116,203036.0
1117,167641.0
1118,174127.0
1119,207615.0
1120,123856.0
1121,155519.0
1122,146708.0
1123,189255.0
1124,237148.0
1125,144949.0
1126,157890.0
1127,224383.0
1128,67571.0
1129,232432.0
1130,150491.0
1131,111355.0
1132,138287.0
1133,238052.0
1134,244541.0
1135,343245.0
1136,184911.0
1137,245099.0
1138,233372.0
1139,206930.0
1140,145612.0
1141,223051.0
1142,98967.0
1143,184667.0
1144,76169.0
1145,272119.0
1146,211490.0
1147,235481.0
1148,129047.0
1149,242809.0
1150,217381.0
1151,261078.0
1152,150469.0
1153,218818.0
1154,224233.0
1155,137691.0
1156,323974.0
1157,148785.0
1158,69276.0
1159,222208.0
1160,217982.0
1161,181591.0
1162,172387.0
1163,282743.0
1164,129158.0
1165,118115.0
1166,184187.0
1167,50185.0
1168,173200.0
1169,232288.0
1170,143121.0
1171,233313.0
1172,142512.0
1173,253807.0
1174,137163.0
1175,135570.0
1176,231761.0
1177,228081.0
1178,196489.0
1179,195246.0
1180,173806.0
1181,145343.0
1182,162177.0
1183,181198.0
1184,166007.0
1185,137449.0
1186,219809.0
1187,213587.0
1188,175687.0
1189,325506.0
1190,154262.0
1191,289467.0
1192,164113.0
1193,136738.0
1194,268947.0
1195,241952.0
1196,49341.0
1197,154016.0
1198,181601.0
1199,79612.0
1200,263084.0
1201,148135.0
1202,130728.0
1203,248487.0
1204,136519.0
1205,248147.0
1206,210255.0
1207,242387.0
1208,264550.0
1209,157495.0
1210,264439.0
1211,190403.0
1212,254354.0
1213,122338.0
1214,157337.0
1215,189042.0
1216,239297.0
1217,67985.0
1218,116730.0
1219,291023.0
1220,185950.0
1221,128686.0
1222,218232.0
1223,269293.0
1224,190573.0
1225,67025.0
1226,280112.0
1227,155792.0
1228,147277.0
1229,252500.0
1230,176718.0
1231,274055.0
1232,212261.0
1233,237567.0
1234,346463.0
1235,196298.0
1236,187742.0
1237,86475.0
1238,122603.0
1239,147898.0
1240,175545.0
1241,170704.0
1242,177706.0
1243,111616.0
1244,153127.0
1245,196177.0
1246,208117.0
1247,118130.0
1248,105814.0
1249,194964.0
1250,218111.0
1251,161380.0
1252,156025.0
1253,160471.0
1254,132133.0
1255,226918.0
1256,222115.0
